"DataExtractDate","ReportPeriod","Arrival_Departure","Domestic_International","CargoType","AirCargoTons"
"2018 Apr 18 03:12:41 PM","Jun 2017","Departure","Domestic","Freight","38,842"
"2018 Apr 18 03:12:41 PM","Jan 2011","Departure","Domestic","Mail","2,517"
"2018 Apr 18 03:12:41 PM","Oct 2008","Departure","Domestic","Freight","33,840"
"2018 Apr 18 03:12:41 PM","Dec 2010","Arrival","International","Mail","673"
"2018 Apr 18 03:12:41 PM","Sep 2017","Departure","Domestic","Freight","36,303"
"2018 Apr 18 03:12:41 PM","Sep 2013","Arrival","Domestic","Freight","27,181"
"2018 Apr 18 03:12:41 PM","Oct 2009","Arrival","Domestic","Freight","30,781"
"2018 Apr 18 03:12:41 PM","Nov 2013","Arrival","Domestic","Freight","29,972"
"2018 Apr 18 03:12:41 PM","Sep 2009","Departure","International","Freight","31,821"
"2018 Apr 18 03:12:41 PM","Apr 2010","Departure","Domestic","Freight","31,904"
"2018 Apr 18 03:12:41 PM","Aug 2007","Arrival","International","Mail","743"
"2018 Apr 18 03:12:41 PM","Feb 2014","Arrival","Domestic","Freight","25,403"
"2018 Jul 11 02:24:22 PM","May 2018","Departure","Domestic","Mail","3,309"
"2021 Mar 03 10:48:12 AM","Jan 2021","Arrival","International","Mail","987"
"2018 Apr 18 03:12:41 PM","Apr 2014","Arrival","Domestic","Mail","1,762"
"2018 Sep 26 09:27:08 AM","Aug 2018","Arrival","International","Mail","1,506"
"2018 Apr 18 03:12:41 PM","Aug 2013","Departure","International","Mail","1,760"
"2018 Apr 18 03:12:41 PM","Apr 2007","Departure","International","Mail","1,106"
"2018 Apr 18 03:12:41 PM","Jun 2008","Arrival","Domestic","Freight","30,450"
